Date,APA
2/26/2021 16:00:00,9.29
3/01/2021 16:00,9.47
3/02/2021 16:00,9.38
3/03/2021 16:00,9.37
3/04/2021 16:00,9.25
3/05/2021 16:00,9.32
3/08/2021 16:00,9.37
3/09/2021 16:00,9.47
3/10/2021 16:00,9.54
3/11/2021 16:00,9.46
3/12/2021 16:00,9.55
3/15/2021 16:00:00,9.55
3/16/2021 16:00:00,9.81
3/17/2021 16:00:00,9.94
3/18/2021 16:00:00,9.87
3/19/2021 16:00:00,9.92
3/22/2021 16:00:00,10.1
3/23/2021 16:00:00,9.99
3/24/2021 16:00:00,10.12
3/25/2021 16:00:00,10.18
3/26/2021 16:00:00,10.16
3/29/2021 16:00:00,10.06
3/30/2021 16:00:00,9.98
3/31/2021 16:00:00,10.02
4/01/2021 16:00,10.12
4/06/2021 16:00,10.11
4/07/2021 16:00,10.22
4/08/2021 16:00,10.18
4/09/2021 16:00,10.19
4/12/2021 16:00,10.14
4/13/2021 16:00:00,10.01
4/14/2021 16:00:00,10.13
4/15/2021 16:00:00,9.97
4/16/2021 16:00:00,9.99
4/19/2021 16:00:00,10.07
4/20/2021 16:00:00,10.03
4/21/2021 16:00:00,10.12
4/22/2021 16:00:00,10.18
4/23/2021 16:00:00,10.11
4/26/2021 16:00:00,9.88
4/27/2021 16:00:00,9.93
4/28/2021 16:00:00,9.99
4/29/2021 16:00:00,9.99
4/30/2021 16:00:00,10.03
5/03/2021 16:00,10
5/04/2021 16:00,10.01
5/05/2021 16:00,10
5/06/2021 16:00,10
5/07/2021 16:00,9.87
5/10/2021 16:00,9.82
5/11/2021 16:00,9.77
5/12/2021 16:00,9.64
5/13/2021 16:00:00,9.52
5/14/2021 16:00:00,9.66
5/17/2021 16:00:00,9.4
5/18/2021 16:00:00,9.37
5/19/2021 16:00:00,9.29
5/20/2021 16:00:00,9.32
5/21/2021 16:00:00,9.46
5/24/2021 16:00:00,9.49
5/25/2021 16:00:00,9.43
5/26/2021 16:00:00,9.47
5/27/2021 16:00:00,9.3
5/28/2021 16:00:00,9.21
5/31/2021 16:00:00,9.23
6/01/2021 16:00,9.25
6/02/2021 16:00,9.31
6/03/2021 16:00,9.33
