Date,AAPL
7/14/2020 16:00:00,97.06
7/15/2020 16:00:00,97.73
7/16/2020 16:00:00,96.52
7/17/2020 16:00:00,96.33
7/20/2020 16:00:00,98.36
7/21/2020 16:00:00,97
7/22/2020 16:00:00,97.27
7/23/2020 16:00:00,92.85
7/24/2020 16:00:00,92.62
7/27/2020 16:00:00,94.81
7/28/2020 16:00:00,93.25
7/29/2020 16:00:00,95.04
7/30/2020 16:00:00,96.19
7/31/2020 16:00:00,106.26
8/03/2020 16:00,108.94
8/04/2020 16:00,109.67
8/05/2020 16:00,110.06
8/06/2020 16:00,113.9
8/07/2020 16:00,111.11
8/10/2020 16:00,112.73
8/11/2020 16:00,109.38
8/12/2020 16:00,113.01
8/13/2020 16:00:00,115.01
8/14/2020 16:00:00,114.91
8/17/2020 16:00:00,114.61
8/18/2020 16:00:00,115.56
8/19/2020 16:00:00,115.71
8/20/2020 16:00:00,118.28
8/21/2020 16:00:00,124.37
8/24/2020 16:00:00,125.86
8/25/2020 16:00:00,124.83
8/26/2020 16:00:00,126.52
8/27/2020 16:00:00,125.01
8/28/2020 16:00:00,124.81
8/31/2020 16:00:00,129.04
9/01/2020 16:00,134.18
9/02/2020 16:00,131.4
9/03/2020 16:00,120.88
9/04/2020 16:00,120.96
9/08/2020 16:00,112.82
9/09/2020 16:00,117.32
9/10/2020 16:00,113.49
9/11/2020 16:00,112
9/14/2020 16:00:00,115.36
9/15/2020 16:00:00,115.54
9/16/2020 16:00:00,112.13
9/17/2020 16:00:00,110.34
9/18/2020 16:00:00,106.84
9/21/2020 16:00:00,110.08
9/22/2020 16:00:00,111.81
9/23/2020 16:00:00,107.12
9/24/2020 16:00:00,108.22
9/25/2020 16:00:00,112.28
9/28/2020 16:00:00,114.96
9/29/2020 16:00:00,114.09
9/30/2020 16:00:00,115.81
10/01/2020 16:00,116.79
10/02/2020 16:00,113.02
10/05/2020 16:00,116.5
10/06/2020 16:00,113.16
10/07/2020 16:00,115.08
10/08/2020 16:00,114.97
10/09/2020 16:00,116.97
10/12/2020 16:00,124.4
10/13/2020 16:00:00,121.1
