Date,ACDC
12/06/2021 16:00,94.52
12/07/2021 16:00,94.76
12/08/2021 16:00,95.9
12/09/2021 16:00,95.25
12/10/2021 16:00,94.61
12/13/2021 16:00:00,95.07
12/14/2021 16:00:00,94.1
12/15/2021 16:00:00,93.45
12/16/2021 16:00:00,93.12
12/17/2021 16:00:00,92.52
12/20/2021 16:00:00,91.13
12/21/2021 16:00:00,91.05
12/22/2021 16:00:00,92.06
12/23/2021 16:00:00,92.44
12/24/2021 14:10:00,93.33
12/29/2021 16:00:00,94.25
12/30/2021 16:00:00,93.81
12/31/2021 14:10:00,93.43
1/04/2022 16:00,96.64
1/05/2022 16:00,96.71
1/06/2022 16:00,96.19
1/07/2022 16:00,96.76
1/10/2022 16:00,96.59
1/11/2022 16:00,96.5
1/12/2022 16:00,97.95
1/13/2022 16:00:00,97.87
1/14/2022 16:00:00,97.5
1/17/2022 16:00:00,98.39
1/18/2022 16:00:00,98.2
1/19/2022 16:00:00,96.5
1/20/2022 16:00:00,96.26
1/21/2022 16:00:00,95.2
1/24/2022 16:00:00,94.07
1/25/2022 16:00:00,91.14
1/27/2022 16:00:00,89.44
1/28/2022 16:00:00,90.4
1/31/2022 16:00:00,91.38
2/01/2022 16:00,92.68
2/02/2022 16:00,93.65
2/03/2022 16:00,92.92
2/04/2022 16:00,92.66
2/07/2022 16:00,92.61
2/08/2022 16:00,92.23
2/09/2022 16:00,92.77
2/10/2022 16:00,93.6
2/11/2022 16:00,92.3
2/14/2022 16:00:00,90.91
2/15/2022 16:00:00,90
2/16/2022 16:00:00,92.25
2/17/2022 16:00:00,91.75
2/18/2022 16:00:00,91.57
2/21/2022 16:00:00,90.2
2/22/2022 16:00:00,87.48
2/23/2022 16:00:00,88.34
2/24/2022 16:00:00,84.64
2/25/2022 16:00:00,86.3
2/28/2022 16:00:00,86.47
3/01/2022 16:00,87.89
3/02/2022 16:00,85.6
3/03/2022 16:00,85.57
3/04/2022 16:00,81.95
