Date,AMC
3/12/2021 16:00,15.03
3/15/2021 16:00:00,15.04
3/16/2021 16:00:00,15.19
3/17/2021 16:00:00,14.76
3/18/2021 16:00:00,14.67
3/19/2021 16:00:00,14.48
3/22/2021 16:00:00,14.65
3/23/2021 16:00:00,14.76
3/24/2021 16:00:00,14.83
3/25/2021 16:00:00,15
3/26/2021 16:00:00,15.2
3/29/2021 16:00:00,15.2
3/30/2021 16:00:00,15.32
3/31/2021 16:00:00,15.39
4/01/2021 16:00,15.4
4/06/2021 16:00,15.44
4/07/2021 16:00,15.41
4/08/2021 16:00,15.28
4/09/2021 16:00,15.27
4/12/2021 16:00,15.3
4/13/2021 16:00:00,15.34
4/14/2021 16:00:00,15.35
4/15/2021 16:00:00,15.27
4/16/2021 16:00:00,15.29
4/19/2021 16:00:00,15.36
4/20/2021 16:00:00,15.31
4/21/2021 16:00:00,15.24
4/22/2021 16:00:00,15.23
4/23/2021 16:00:00,14.97
4/26/2021 16:00:00,15.03
4/27/2021 16:00:00,14.91
4/28/2021 16:00:00,15.02
4/29/2021 16:00:00,14.95
4/30/2021 16:00:00,15.15
5/03/2021 16:00,15.15
5/04/2021 16:00,15.39
5/05/2021 16:00,15.81
5/06/2021 16:00,15.82
5/07/2021 16:00,16.05
5/10/2021 16:00,15.94
5/11/2021 16:00,15.85
5/12/2021 16:00,15.73
5/13/2021 16:00:00,15.59
5/14/2021 16:00:00,15.9
5/17/2021 16:00:00,15.8
5/18/2021 16:00:00,15.86
5/19/2021 16:00:00,15.55
5/20/2021 16:00:00,15.53
5/21/2021 16:00:00,15.47
5/24/2021 16:00:00,15.48
5/25/2021 16:00:00,15.27
5/26/2021 16:00:00,15.1
5/27/2021 16:00:00,15.11
5/28/2021 16:00:00,15.25
